nomenclature_id,nomeclature_Name,created_at,updated_at
240,"GRINDER, PEDESTAL",4/6/2011 9:58,4/6/2011 9:58
241,"GRINDER, SURFACE",4/6/2011 9:58,4/6/2011 9:58
242,"IRON WORKER, 25-TON",4/6/2011 9:58,4/6/2011 9:58
243,JOINTER,4/6/2011 9:58,4/6/2011 9:58
244,"LATHE, TOOL ROOM",4/6/2011 9:58,4/6/2011 9:58
245,"MILL, TOOL ROOM",4/6/2011 9:58,4/6/2011 9:58
246,MILLING MACHINE,4/6/2011 9:58,4/6/2011 9:58
247,"NOTCHER, MANUAL",4/6/2011 9:58,4/6/2011 9:58
248,PLANER,4/6/2011 9:58,4/6/2011 9:58
249,"PRESS PUNCH, MANUAL",4/6/2011 9:58,4/6/2011 9:58
250,"PRINTER, 3D WITH CLEAN STATION",4/6/2011 9:58,4/6/2011 9:58
251,SAND BLASTING CABINET,4/6/2011 9:58,4/6/2011 9:58
252,"SANDER, BELT 6'' VERTICAL",4/6/2011 9:58,4/6/2011 9:58
253,"SANDER, DRUM",4/6/2011 9:58,4/6/2011 9:58
254,"SAW, COMPOUND MITER 12'' DOUBLE BEVEL SLIDING",4/6/2011 9:58,4/6/2011 9:58
255,"SAW, HORIZONTAL BAND",4/6/2011 9:58,4/6/2011 9:58
256,"SAW, PANEL",4/6/2011 9:58,4/6/2011 9:58
257,"SAW, TABLE",4/6/2011 9:58,4/6/2011 9:58
258,"SAW, VERTICAL BAND",4/6/2011 9:58,4/6/2011 9:58
259,"SHEAR, FOOT OPERATED",4/6/2011 9:58,4/6/2011 9:58
260,"WASHOUT, RECIRCULATING",4/6/2011 9:58,4/6/2011 9:58
261,"WELDER, MIG",4/6/2011 9:58,4/6/2011 9:58
262,"WELDER, TIG/ARC",4/6/2011 9:58,4/6/2011 9:58
263,THIN CLIENT,4/6/2011 9:58,4/6/2011 9:58
264,"ANALYZER, IMPEDANCE/GAIN-PHASE",4/6/2011 9:58,4/6/2011 9:58
265,"PRINTER, PAINTJET XL",4/6/2011 9:58,4/6/2011 9:58
266,"ANALYZER, AUDIO",4/6/2011 9:58,4/6/2011 9:58
267,"ANALYZER, SEMICONDUCTOR",4/6/2011 9:58,4/6/2011 9:58
268,TEST FIXTURE,4/6/2011 9:58,4/6/2011 9:58
269,PRINTER,4/6/2011 9:58,4/6/2011 9:58
270,ANALOG  UNIT,4/6/2011 9:58,4/6/2011 9:58
271,ANALOG COMPUTER,4/6/2011 9:58,4/6/2011 9:58
272,ANALOG OUTPUT UNIT,4/6/2011 9:58,4/6/2011 9:58
273,"ANALYZER, SIGNAL",4/6/2011 9:58,4/6/2011 9:58
274,CONTROL UNIT,4/6/2011 9:58,4/6/2011 9:58
275,DATA ACQUISITION AND CONTROL UNIT,4/6/2011 9:58,4/6/2011 9:58
276,DIGITAL SERVO CONTROLLER,4/6/2011 9:58,4/6/2011 9:58
277,DIGITAL UNIT,4/6/2011 9:58,4/6/2011 9:58
278,EDUCATIONAL SERVO,4/6/2011 9:58,4/6/2011 9:58
279,FEEDBACK MOTOR UNIT,4/6/2011 9:58,4/6/2011 9:58
280,INVERTED PENDULUM,4/6/2011 9:58,4/6/2011 9:58
281,MECHANICAL UNIT,4/6/2011 9:58,4/6/2011 9:58
282,QUADRATURE DECODER,4/6/2011 9:58,4/6/2011 9:58
283,STORAGE ARRAY,4/6/2011 9:58,4/6/2011 9:58
284,AM/DSB/SSB GENERATOR,4/6/2011 9:58,4/6/2011 9:58
285,AM/DSM RECEIVER,4/6/2011 9:58,4/6/2011 9:58
286,"AMPLIFIER, AUDIO",4/6/2011 9:58,4/6/2011 9:58
287,ANALYZER RF SECTION,4/6/2011 9:58,4/6/2011 9:58
288,"ANALYZER, AM/FM STEREO",4/6/2011 9:58,4/6/2011 9:58
289,"ANALYZER, RF",4/6/2011 9:58,4/6/2011 9:58
290,"ANALYZER, VECTOR SIGNAL",4/6/2011 9:58,4/6/2011 9:58
291,"ANALYZER, VIDEO",4/6/2011 9:58,4/6/2011 9:58
292,AUDIO GENERATOR,4/6/2011 9:58,4/6/2011 9:58
293,BASEBAND CHANNEL/BRICKWALL FILTER,4/6/2011 9:58,4/6/2011 9:58
294,BIT-ERROR RATE INDICATOR,4/6/2011 9:58,4/6/2011 9:58
295,BPSK DEMODULATOR,4/6/2011 9:58,4/6/2011 9:58
296,BPSK MODULATOR,4/6/2011 9:58,4/6/2011 9:58
297,CLOCK GENERATOR,4/6/2011 9:58,4/6/2011 9:58
298,CLOCK RECOVERY,4/6/2011 9:58,4/6/2011 9:58
299,DC VOLTMETER/DC SOURCE,4/6/2011 9:58,4/6/2011 9:58
300,DELTA/CVSD DECODER,4/6/2011 9:58,4/6/2011 9:58
301,DELTA/CVSD ENCODER,4/6/2011 9:58,4/6/2011 9:58
302,DIGITAL GENERATOR,4/6/2011 9:58,4/6/2011 9:58
303,DPCM DECODER,4/6/2011 9:58,4/6/2011 9:58
304,DPCM ENCODER,4/6/2011 9:58,4/6/2011 9:58
305,DUAL DIRECTIONAL COUPLER,4/6/2011 9:58,4/6/2011 9:58
306,ENCLOSURE / SUPPLY REGULATOR,4/6/2011 9:58,4/6/2011 9:58
307,FM/PM GENERATOR,4/6/2011 9:58,4/6/2011 9:58
308,FM/PM RECEIVER,4/6/2011 9:58,4/6/2011 9:58
309,FSK MODEM,4/6/2011 9:58,4/6/2011 9:58
310,HF/VHF SWR ANALYZER,4/6/2011 9:58,4/6/2011 9:58
311,IEEE 488 BUS INTERFACE,4/6/2011 9:58,4/6/2011 9:58
312,LINE CODER,4/6/2011 9:58,4/6/2011 9:58
313,LINE DECODER,4/6/2011 9:58,4/6/2011 9:58
314,LOWPASS AUDIO FILTER,4/6/2011 9:58,4/6/2011 9:58
315,NOISE MEASUREMENT FILTERS,4/6/2011 9:58,4/6/2011 9:58
316,PAM/ASK GENERATOR,4/6/2011 9:58,4/6/2011 9:58
317,PAM/ASK RECEIVER,4/6/2011 9:58,4/6/2011 9:58
318,PATTERN GENERATOR,4/6/2011 9:58,4/6/2011 9:58
319,PCM DECODER,4/6/2011 9:58,4/6/2011 9:58
320,PCM ENCODER,4/6/2011 9:58,4/6/2011 9:58
321,PCM TRANSRECEIVER,4/6/2011 9:58,4/6/2011 9:58
322,PSUEDO-RANDOM BINARY SEQUENCE GENERATOR,4/6/2011 9:58,4/6/2011 9:58
323,PWM/PPM GENERATOR,4/6/2011 9:58,4/6/2011 9:58
324,PWM/PPM RECEIVER,4/6/2011 9:58,4/6/2011 9:58
325,RMS VOLTMETER,4/6/2011 9:58,4/6/2011 9:58
326,SIGNAL INTERRUPTOR/SELECTOR,4/6/2011 9:58,4/6/2011 9:58
327,SSB RECEIVER,4/6/2011 9:58,4/6/2011 9:58
328,SYNCHRONOUS AUDIO GENERATOR,4/6/2011 9:58,4/6/2011 9:58
329,TELEPHONE TRAINING SYSTEM,4/6/2011 9:58,4/6/2011 9:58
330,TIME-DIVISION DEMULTIPLEXER,4/6/2011 9:58,4/6/2011 9:58
331,TIME-DIVISION MULTIPLEXER,4/6/2011 9:58,4/6/2011 9:58
332,TRANSRECEIVER,4/6/2011 9:58,4/6/2011 9:58
333,VCR TEST ACCESSORY,4/6/2011 9:58,4/6/2011 9:58
334,VIDEO ANALYZER STEREO TV ADDER,4/6/2011 9:58,4/6/2011 9:58
335,VIDEO CAMERA,4/6/2011 9:58,4/6/2011 9:58
336,VIDEO MEASUREMENT SET,4/6/2011 9:58,4/6/2011 9:58
337,VIDEO MONITOR ADAPTOR,4/6/2011 9:58,4/6/2011 9:58
338,WAVEFORM/VECTOR MONITOR,4/6/2011 9:58,4/6/2011 9:58
339,"TRACER, CURVE",4/6/2011 9:58,4/6/2011 9:58

