model_id,model_Name,make_id,nom_id,created_at,updated_at,photo_file_name,photo_content_type,photo_file_size,photo_updated_at,seriveLife,maintainence_type
5196,E2210H,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5197,PackBot 510,100,190,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5198,N4375B,83,191,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5199,N5242A,83,192,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5200,33220A,83,167,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5201,E5810A,83,193,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5202,LC76,101,185,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5203,DSO6012A,83,176,2011:04:06 10:03,2011:04:11 18:27,Agilent DSO6012A.jpg,image/pjpeg,60817,4/11/2011 18:27,NULL,NULL
5204,MSO6012A,83,176,2011:04:06 10:03,2011:04:11 18:28,Agilent MSO6012A.jpg,image/pjpeg,49916,4/11/2011 18:28,NULL,NULL
5205,E9340A,83,194,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5206,1909wb,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5207,54621D,83,176,2011:04:06 10:03,2011:04:11 18:29,Agilent 54621D.jpg,image/pjpeg,29065,4/11/2011 18:29,NULL,NULL
5208,1682A,102,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5209,8349B,91,195,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5210,8510C,91,192,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5211,A8000,103,196,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5212,PXIe-1062Q/8108/5610/5442,90,197,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5213,4285A,91,185,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5214,AB797,104,198,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5215,MW-1,105,199,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5216,X-845A,106,199,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5217,346B,83,200,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5218,346C,83,200,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5219,RS 3000,98,187,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5220,438A,91,201,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5221,8481H,107,202,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5222,8485A,107,202,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5223,E3620A,83,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5224,N4906B,83,203,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5225,69147B-11,96,204,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5226,8702D,107,191,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5227,86146B,83,205,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5228,8563E,107,196,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5229,MS9030A,96,206,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5230,N21080-1SAS,108,207,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5231,S3FC1310,109,208,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5232,S1FC1310,109,209,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5233,S1FC1310PM,109,209,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5234,S1FC1550,109,209,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5235,S1FC1550PM,109,209,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5236,S1FC635,109,209,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5237,S1FC635PM,109,209,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5238,S3FC1550,109,209,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5239,543-AP-A01,110,210,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5240,83412B,107,211,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5241,83402B,107,212,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5242,SR560,111,213,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5243,1835-C,98,214,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5244,86120B,107,215,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5245,MS9701B,96,216,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5246,MSO9104A,83,176,2011:04:06 10:03,2011:04:11 18:30,Agilent MSO9104A.jpg,image/pjpeg,39469,4/11/2011 18:30,NULL,NULL
5247,MSO8104A640,83,176,2011:04:06 10:03,2011:04:11 18:49,Agilent MSO8104A.jpg,image/pjpeg,52231,4/11/2011 18:49,NULL,NULL
5248,11896A,107,217,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5249,1935-C,98,218,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5250,2935-C,98,218,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5251,815,98,219,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5252,840-C,98,220,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5253,E3632A,83,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5254,8110A,107,221,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5255,ME-100,112,222,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5256,ME-110T,112,222,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5257,MG9002A,96,224,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5258,TSL-510,114,225,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5259,2300,115,196,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5260,2430-3HS,115,196,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5261,SL206,116,226,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5262,HyExpert,118,228,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5263,9500A,119,229,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5264,LC53,101,185,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5265,H-EWC-300AX,120,230,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5266,54624A,83,176,2011:04:06 10:03,2011:04:11 18:33,Agilent 54624A.jpg,image/pjpeg,11987,4/11/2011 18:33,NULL,NULL
5267,PA4400A-3,121,231,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5268,3600B,122,232,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5269,PP1-R,123,232,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5270,6683A,83,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5271,DCR300,124,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5272,QRC-40-30,124,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5273,1840,117,233,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5274,3,125,234,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5275,PX-24,126,235,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5276,407B,127,236,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5277,22-0000-0004,128,237,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5278,1672,129,238,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5279,RF52,130,239,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5280,W-2269-A,131,240,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5281,SGS-816H,132,241,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5282,25 Ton,133,242,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5283,HLV-H,134,244,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5284,TL-1,135,244,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5285,TM-1,135,245,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5286,ProLight1000,136,246,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5287,22650,138,248,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5288,Punch No. 2,139,249,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5289,Dimension Elite/180-00105,140,250,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5290,3824,141,251,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5291,4300A,142,252,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5292,ShopPro25,143,253,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5293,DW718,144,254,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5294,U816,145,255,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5295,H4,146,256,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5296,66-TA SAW,147,257,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5297,V20,148,258,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5298,137,126,259,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5299,Econo Kleaner,149,260,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5300,SP-250,150,261,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5301,180SD,151,262,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5302,1909wf,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5303,ID370,152,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5304,Sync Master NC190,153,263,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5305,4194A-350,91,264,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5306,4194AOPT350,83,264,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5307,4395A,83,192,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5308,Optiplex SX280,87,170,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5309,C1602A,107,265,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5310,8903B,83,266,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5311,4156C,83,267,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5312,16442A,83,268,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5313,Optiplex 960,87,170,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5314,1908FPC,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5315,LaserJet 4200 TN,107,269,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5316,33-110,154,270,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5317,GP-6,155,271,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5318,A0153D,154,272,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5319,3563A,107,273,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5320,505,156,274,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5321,DAX152,154,275,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5322,DSC153C,154,276,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5323,33-120,154,277,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5324,E5151,154,278,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5325,33-100,154,281,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5326,54615B,83,176,2011:04:06 10:03,2011:04:11 18:33,Agilent 54615B.jpg,image/pjpeg,37966,4/11/2011 18:33,NULL,NULL
5327,01-100,154,177,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5328,QD153B,154,282,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5329,Laserjet 4000 N,107,269,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5330,Laserjet P2015dn,107,269,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5331,Powervault 220S,87,283,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5332,A1225,93,170,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5333,1905FP,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5334,S2409wb,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5335,LaserJet 4050 TN,107,269,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5336,OfficeJet G95,107,269,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5337,9410-00,157,284,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5338,9411-00,157,285,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5339,9401-00,157,286,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5340,89430A,107,287,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5341,SG80,101,288,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5342,N9912A,83,289,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5343,4195A,83,196,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5344,9405-00,157,196,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5345,E4448A219226,83,196,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5346,89440A,107,290,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5347,VA62A,101,291,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5348,9427-00,157,292,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5349,9435-00,157,293,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5350,9423-00,157,294,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5351,9451-00,157,295,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5352,9450-00,157,296,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5353,9421-00,157,297,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5354,9463-00,157,298,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5355,Optiplex GX270,87,170,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5356,9425-00,157,299,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5357,9455-00,157,300,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5358,9454-00,157,301,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5359,1910,158,302,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5360,9447-00,157,303,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5361,9446-00,157,304,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5362,11692D,107,305,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5363,778D,107,305,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5364,9420,157,306,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5365,9414-00,157,307,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5366,9415-10,157,308,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5367,9403-00,157,181,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5368,9449-00,157,309,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5369,9402-00,157,167,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5370,9402-10,157,167,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5371,MFJ-259B,159,310,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5372,IB72,101,311,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5373,9464-00,157,312,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5374,9465-00,157,313,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5375,9424-00,157,194,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5376,9426-00,157,314,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5377,1503FP,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5378,3008WfPt,87,174,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5379,9429-00,157,315,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5380,9406-00,157,200,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5381,9354CL,160,176,2011:04:06 10:03,2011:04:11 18:34,LeCroy 9354CL.jpg,image/pjpeg,6461,4/11/2011 18:34,NULL,NULL
5382,9440-00,157,316,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5383,9441-00,157,317,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5384,NT64,101,318,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5385,9445-00,157,319,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5386,9444-00,157,320,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5387,9462-00,157,321,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5388,9422-00,157,322,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5389,9442-00,157,323,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5390,9443-00,157,324,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5391,9404-00,157,325,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5392,8656B,107,204,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5393,ESG-D3000A,107,204,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5394,9428-00,157,326,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5395,9412-00,157,327,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5396,9461-00,157,330,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5397,9460-00,157,331,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5398,TR10GA,161,332,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5399,VC63,101,333,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5400,ST65,101,334,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5401,HVC-2200,162,335,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
5402,VM700 A,158,336,2011:04:06 10:03,2011:04:06 10:03,NULL,NULL,0,NULL,NULL,NULL
